Source.Name,Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
properties-sporting1.csv,EG-5148558,Apartments For sale in Luxor St,"3,500,000 EGP",Sporting,2,1,100,13,Extra Super Lux,Main Street,2013,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5148558-for-sale-alexandria-sporting-luxor-st/
properties-sporting1.csv,EG-5111808,Apartments For sale in Port Said St.,"2,300,000 EGP",Sporting,2,1,100,2,Super Lux,Garden,1985,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5111808-for-sale-alexandria-sporting-shr-bwr-s-yd/
properties-sporting1.csv,EG-5132116,Apartments For sale in Luxor St,"3,500,000 EGP",Sporting,2,1,100,13,Super Lux,Main Street,2012,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5132116-for-sale-alexandria-sporting-luxor-st/
properties-sporting1.csv,EG-5106639,Apartments For sale in Ahmed Allam St.,"4,900,000 EGP",Sporting,3,3,200,11,Super Lux,Side Street,2012,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/5106639-for-sale-alexandria-sporting-ahmed-allam-st/
properties-sporting1.csv,EG-5170641,Apartments For sale in El Geish Road,"3,000,000 EGP",Sporting,2,1,100,4,Super Lux,Sea View,1995,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5170641-for-sale-alexandria-sporting-el-geish-road/
properties-sporting1.csv,EG-5184597,Apartments For sale in Abou Quer St,"3,500,000 EGP",Sporting,2,1,100,13,Super Lux,Side Street,2010,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5184597-for-sale-alexandria-sporting-abou-quer-st/
properties-sporting1.csv,EG-5133886,Apartments For sale in Mahmoud Al Tareni St,"3,750,000 EGP",Sporting,3,1,135,5,Super Lux,Main Street,2015,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5133886-for-sale-alexandria-sporting-mahmoud-al-tareni-st/
properties-sporting1.csv,EG-5129454,Apartments For sale in Abou Quer St,"3,500,000 EGP",Sporting,2,1,100,3,Extra Super Lux,Main Street,2011,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5129454-for-sale-alexandria-sporting-abou-quer-st/
properties-sporting1.csv,EG-4995924,Apartments For sale in Abou Quer St,"3,100,000 EGP",Sporting,3,1,135,18,Lux,Side Street,2018,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/4995924-for-sale-alexandria-sporting-abou-quer-st/
properties-sporting1.csv,EG-5142562,Apartment for Sale in Sporting - Views on Club,"10,500,000 EGP",Sporting,3,2,170,4,Super Lux,,2018,Cash,Broker,Iproperty,https://aqarmap.com.eg/en/listing/5142562-for-sale-alexandria-sporting-abou-quer-st/
